RA,DEC,mag,e_Gmag,pmRA,pmDE,Plx,catalog
265.95392278884,-39.12530223739,15.840741,0.002781,-7.451,-4.68,0.0626,Gaia
265.95321313931,-39.11794808661,15.552651,0.002784,-0.381,-8.46,0.0293,Gaia
265.98725966321,-39.12602469819,14.783696,0.002809,-3.928,-6.171,0.0677,Gaia
265.98106914894,-39.11426135602,15.381539,0.00278,-1.743,-5.295,0.0629,Gaia
265.98979205561,-39.10642763605,14.544782,0.002772,-2.72,-3.383,0.1805,Gaia
265.99090781626,-39.12195837139,14.987333,0.002767,-0.943,-4.668,0.1992,Gaia
265.97064545806,-39.11784740321,15.918169,0.003023,-3.401,-4.134,0.0118,Gaia
265.96098192019,-39.11690834385,15.292328,0.002778,-0.056,-5.916,0.0538,Gaia
265.97215484433,-39.10980910229,15.332463,0.00278,-0.535,-5.905,0.1385,Gaia
265.98491173863,-39.09794258464,15.212435,0.002783,1.157,-3.512,0.1627,Gaia
265.93881171539,-39.12381422901,14.740894,0.002763,-0.194,-10.865,1.2674,Gaia
265.94397902254,-39.10432000123,12.061725,0.002763,-6.994,-12.87,1.9453,Gaia
265.93832029516,-39.11587014008,14.213132,0.003923,-4.987,-5.993,0.0135,Gaia
265.93690259766,-39.10027882796,14.179932,0.002768,-0.912,-1.248,0.3134,Gaia
265.9452167769,-39.10229095879,13.689423,0.005831,-3.14,-2.322,-0.0109,Gaia
265.93539360033,-39.10385077549,15.004965,0.00277,3.114,-12.252,0.734,Gaia
265.95587260104,-39.09602444294,12.319057,0.002765,-2.183,-16.976,2.6414,Gaia
265.9682075392,-39.0928271594,13.824925,0.002761,-1.257,-2.151,0.6819,Gaia
265.96446386212,-39.09145575364,15.679044,0.002778,-2.183,-1.321,0.1966,Gaia
265.96489620772,-39.08860364919,14.894829,0.002808,-5.521,-4.485,0.0508,Gaia
265.96499156705,-39.08291881289,14.862252,0.002771,-0.359,-2.696,0.1921,Gaia
265.94759444627,-39.09006159005,15.441774,0.002773,-0.908,2.819,0.7179,Gaia
265.94154542867,-39.08730088227,15.26787,0.002796,-4.897,-6.701,0.0659,Gaia
265.93890782823,-39.08624350949,15.81789,0.002781,-3.028,-5.922,0.0689,Gaia
265.94487107121,-39.07924079453,15.440796,0.00279,3.702,-20.087,1.8375,Gaia
265.94455076293,-39.08602555425,15.561724,0.002774,-7.852,-4.134,0.8967,Gaia
265.95338407954,-39.07927382844,14.299446,0.003712,-5.934,-7.598,0.0868,Gaia
265.96361201016,-39.08165729515,14.519963,0.002763,4.735,-8.922,0.8658,Gaia
265.96475958884,-39.07819000838,14.778579,0.002823,-3.883,-7.124,0.0495,Gaia
265.95467315477,-39.0819744896,15.827489,0.002796,-1.312,-3.854,0.1978,Gaia
265.95380850571,-39.07383105042,14.527907,0.002781,-13.63,-11.078,1.0031,Gaia
265.94837644587,-39.07687206036,14.455843,0.002763,0.305,-16.26,1.4156,Gaia
265.94900885027,-39.07505330661,14.914546,0.002766,-1.15,-3.904,0.2101,Gaia
266.04833238437,-39.15121484846,15.940034,0.002807,-4.85,-8.516,0.2608,Gaia
