objid,RA,Dec,r,dr,g,dg,i,di,dupvar,x,y
75982769592789018,276.95927815,-26.67607097,18.092,0.014,18.643,0.013,17.784,0.01,2,453.6792264089962,898.4652744574256
75982769613210727,276.96132182,-26.68298002,16.895,0.011,17.59,0.01,16.634,0.011,2,442.1022977918588,943.0070419035744
75982769665559339,276.96655531,-26.6758035,18.082,0.016,18.888,0.016,17.789,0.011,2,411.7859192099246,896.8843205891245
75982769729459975,276.97294546,-26.6752735,18.146,0.015,18.822,0.012,17.88,0.01,2,374.9906924567565,893.5970531781309
75992768522828333,276.85228299,-26.6683091,16.892,0.01,17.52,0.011,16.62,0.013,2,1069.3593048035164,846.6597762766037
75992768556139222,276.85561391,-26.66756827,18.042,0.011,18.644,0.012,17.764,0.011,2,1050.169717229494,841.9365397282494
75992768569995771,276.85699971,-26.67044382,17.983,0.059,18.697,0.018,17.821,0.033,2,1042.2549853236694,860.4787778571269
75992768601135677,276.86011387,-26.67052212,17.907,0.01,18.717,0.011,17.592,0.012,2,1024.3311747673579,861.0291751263342
75992768642741678,276.86427413,-26.67385492,16.082,0.01,17.224,0.013,15.594,0.01,2,1000.4576379241478,882.5584817032777
75992768651779590,276.86517785,-26.66726128,17.892,0.019,18.755,0.014,17.51,0.01,2,995.1102452716606,840.1014065870846
75992768660244062,276.86602459,-26.671868,15.477,0.01,15.979,0.01,15.258,0.013,2,990.3380974650502,869.7868177196444
75992768694691732,276.86946938,-26.67380916,18.031,0.019,18.701,0.017,17.795,0.01,2,970.5529765216319,882.3425084763629
75992768705576625,276.87055762,-26.66973222,17.821,0.014,18.774,0.012,17.397,0.01,2,964.197968431371,856.0989453978311
75992768782765164,276.87827621,-26.67094922,18.325,0.013,18.938,0.017,18.037,0.037,2,919.7961860628741,864.0575022396739
75992768808848560,276.88088476,-26.66811933,15.748,0.009,16.349,0.009,15.498,0.01,2,904.7163739403675,845.870788808983
75992768815546220,276.8815542,-26.67006989,18.116,0.013,18.653,0.013,17.806,0.013,2,900.9076028961449,858.4452342785733
75992768834373694,276.88343733,-26.67217455,17.814,0.01,18.363,0.011,17.618,0.017,2,890.1164547359037,872.0315586640543
75992768872794374,276.88727997,-26.67160758,17.195,0.013,18.031,0.013,16.761,0.012,2,867.9849268168598,868.4410871013793
75992768889873415,276.88898711,-26.67240716,16.053,0.012,17.142,0.013,15.573,0.011,2,858.1771380798479,873.6188279300569
75992768890591458,276.88905994,-26.67403753,18.425,0.12,18.993,0.159,18.196,0.111,2,857.7958958484817,884.1214700673595
75992768917872348,276.89178708,-26.67329584,18.413,0.022,18.885,0.016,17.981,0.033,2,842.0812651026957,879.3883778166942
75992768929279508,276.89292776,-26.66732985,16.844,0.01,17.469,0.013,16.534,0.012,2,835.3754342694607,840.9791286378593
75992768950378512,276.89503786,-26.66815941,16.364,0.011,17.283,0.01,15.907,0.013,2,823.2486820310576,846.3570288919652
